wavelength_nm,c5,c4,c3,c2,c1,c0
7.755972609878399453e+02,2.084062311166252637e-11,-7.596118015423714144e-09,-1.460535867799649941e-06,8.242851554304953107e-04,-3.617983804617640187e-02,2.153244135935870496e+00
7.757876794625000230e+02,2.173143733019260753e-11,-7.687689344731202107e-09,-1.660404895439223311e-06,8.843545590829259614e-04,-4.126925965934035573e-02,2.238840487911687660e+00
7.759780812618400887e+02,1.843420722095291796e-11,-5.672702619070462975e-09,-2.102872704927135475e-06,9.270253228565835312e-04,-4.281778041699232928e-02,2.239990261727387022e+00
7.761684663858600288e+02,2.966290392324511634e-12,2.816710755049488188e-09,-3.630370936757089089e-06,1.022009820426976511e-03,-4.419492726006391675e-02,2.266286485843451270e+00
7.763588348345599570e+02,-4.897980064334603934e-12,8.013422760665523169e-09,-4.804973926443896317e-06,1.123095414788327986e-03,-4.567431221356358512e-02,2.165068895929659565e+00
7.765491866079401007e+02,7.073168456233981815e-12,1.640894062760420403e-10,-2.980411703089692823e-06,9.432867867099470728e-04,-3.847935977959734966e-02,2.076554381784080139e+00
7.767395217060000050e+02,1.798363519360417120e-12,3.091308830023678984e-09,-3.436996260591758675e-06,9.476363540355492139e-04,-3.602187531555462591e-02,2.067564925637168649e+00
7.769298401287400111e+02,-2.783094199164714320e-11,2.175375202658402099e-08,-7.547741978922955246e-06,1.317931362507374212e-03,-4.856522705689367975e-02,2.195273067700885594e+00
7.771201418761600053e+02,4.238574187691853574e-12,1.146057491286191258e-09,-2.891542535869571648e-06,8.807433582143404808e-04,-3.316067988968096625e-02,2.073589019866759031e+00
7.773104269482599875e+02,4.437486723299233897e-12,1.314515783670457367e-09,-2.988113476366082131e-06,8.905242946442234759e-04,-3.275011099187887659e-02,2.002471448121576181e+00
7.775006953450399578e+02,-1.559589716575538485e-11,1.441437490750543284e-08,-5.982788548461888853e-06,1.172764859772661020e-03,-4.227117195539156769e-02,2.041098980785426953e+00
7.776909470665000299e+02,1.144410026641955315e-12,2.675649864416225634e-09,-3.111494316910438773e-06,8.885413348857271838e-04,-3.262909763839216826e-02,2.010333995643049487e+00
7.778811821126399764e+02,-9.557807248604736614e-12,9.425179075933607770e-09,-4.523465680279606415e-06,9.968506990148692879e-04,-3.492560670121432065e-02,2.034829008050321963e+00
7.780714004834599109e+02,-4.985141647372436191e-12,5.656067939477875962e-09,-3.469908424591485728e-06,8.750400333726584753e-04,-2.949978604872158933e-02,1.936062422061738841e+00
7.782616021789600609e+02,-1.269450321865310246e-11,1.054730808250879679e-08,-4.549440668634828053e-06,9.640598361332010542e-04,-3.074693475746053881e-02,1.876799877027359731e+00
7.784517871991399716e+02,-1.815952783861782336e-12,3.793963613038761873e-09,-3.063092802860732740e-06,8.210145647810421481e-04,-2.495829927968487572e-02,1.824543837049192430e+00
7.786419555439999840e+02,-1.057583542076563789e-12,3.805524531906367199e-09,-3.173344890749773411e-06,8.413822392457921250e-04,-2.617375544572030435e-02,1.870641280665869211e+00
7.788321072135399845e+02,1.440088312364584325e-12,2.849707428205423393e-09,-3.185129977751308493e-06,8.807240108260203570e-04,-3.048679521026166975e-02,1.995628236038915704e+00
7.790222422077600868e+02,9.393067614432903710e-12,-2.139970005795895324e-09,-2.129161616247398817e-06,7.942635076257530862e-04,-2.762078726409114213e-02,1.944514926423381418e+00
7.792123605266599498e+02,1.452892555986985992e-11,-5.622647485550193892e-09,-1.260090325747647571e-06,6.994694306646555022e-04,-2.350148103052048659e-02,1.889475873694301145e+00
